tmdbid,title,revenue, yes, yes, yes
18129,The Grifters,13446769
54405,Hear My Song,4
409,The English Patient,231976425
191294,Vi är bäst!,180590
10409,Strictly Ballroom,33946224
31225,Paris is Burning,3779620
510,One Flew Over the Cuckoo's Nest,108981275
11455,Up in Smoke,41590893
1891,Star Wars: Episode V - The Empire Strikes Back,538400000
2493,The Princess Bride,30857814
85,Raiders of the Lost Ark,389925971
679,Aliens,131060248
429,Il buono, il brutto, il cattivo,6000000
389,12 Angry Men,1000000
947,Lawrence of Arabia,70000000
185,A Clockwork Orange,26589000
595,To Kill a Mockingbird,13129846
28,Apocalypse Now,83471511
335,C'era una volta il West,5321508
1892,Star Wars: Episode VI - Return of the Jedi,572700000
703,Annie Hall,38251425
1092,The Third Man,596349
769,Goodfellas,46836394
348,Alien,104931801
11645,Ran,4069653
539,Psycho,32000000
525,The Blues Brothers,115229890
168,Star Trek IV: The Voyage Home,133000000
240,The Godfather: Part II,47542841
600,Full Metal Jacket,46357676
279,Amadeus,51564280
1578,Raging Bull,23000000
19183,The Derby Stallion,4000000
9549,The Right Stuff,21500000
387,Das Boot,85000000
9277,The Sting,159616327
665,Ben-Hur,90000000
218,The Terminator,78371200
763,Braindead,242623
9665,Glory,26828365
10322,Being There,30177511
379,Miller's Crossing,5080409
207,Dead Poets Society,235860116
37247,The Graduate,104397102
1480,Touch of Evil,2247465
9322,Nikita,5000000
826,The Bridge on the River Kwai,33300000
829,Chinatown,30000000
3090,The Treasure of the Sierra Madre,4
13667,Better Off Dead...,10297601
694,The Shining,44017374
235,Stand by Me,52287000
765,Evil Dead II,5923044
5925,The Great Escape,5000000
11778,The Deer Hunter,50000000
137,Groundhog Day,70906973
33,Unforgiven,159157447
982,The Manchurian Candidate,96105910
8428,Pump up the Volume,11541758
105,Back to the Future,381109762
1633,Fried Green Tomatoes,80100000
11202,Patton,89800000
149,Akira,553171
8009,Highlander,5900000
903,Cool Hand Luke,16217773
3034,Young Frankenstein,86273333
339,Night on Earth,2015810
914,The Great Dictator,11
756,Fantasia,76000000
288,High Noon,8000000
2640,Heathers,1108462
11031,This Is Spinal Tap,4736202
11314,Koyaanisqatsi,1723872
15143,Some Kind of Wonderful,18553948
89,Indiana Jones and the Last Crusade,474171806
24086,The Boy Who Could Fly,7177431
783,Gandhi,77737889
14370,Real Genius,13000000
625,The Killing Fields,34700291
8816,Mitt liv som hund,8345266
830,Forbidden Planet,23500000
11449,The Amityville Horror,86432000
2323,Field of Dreams,84431625
642,Butch Cassidy and the Sundance Kid,102308889
655,Paris, Texas,2181987
639,When Harry Met Sally...,92823546
8077,Alien³,159773545
814,An American Werewolf in London,31973249
27214,Amityville 3-D,6333135
16235,Amityville II: The Possession,12534817
22094,Hard Times,5000000
6114,Dracula,215862692
1598,Cape Fear,182300000
7340,Carrie,33800000
377,A Nightmare on Elm Street,25504513
145,Breaking the Waves,3803298
2212,Nightwatch,1179002
199,Star Trek: First Contact,150000000
12498,Sling Blade,24475416
21539,The Preacher's Wife,48093211
12709,Ridicule,2503829
11674,101 Dalmatians,320689294
1573,Die Hard 2,240031094
364,Batman Returns,280000000
152,Star Trek: The Motion Picture,139000000
174,Star Trek VI: The Undiscovered Country,96900000
172,Star Trek V: The Final Frontier,70200000
154,Star Trek II: The Wrath of Khan,96800000
157,Star Trek III: The Search for Spock,87000000
11967,Young Guns,44726644
621,Grease,181813770
9037,Grease 2,15171476
2322,Sneakers,105232691
10173,Marked for Death,46044400
8845,Under Siege,156563139
578,Jaws,470654000
579,Jaws 2,187884007
17692,Jaws 3-D,87987055
75,Mars Attacks!,101371017
13891,Citizen Ruth,153155
9390,Jerry Maguire,273552592
378,Raising Arizona,29180280
193610,The Other Woman,196781193
4232,Scream,173046663
9361,The Last of the Mohicans,75505856
2928,Michael,119718203
8818,Evita,141047179
36758,The Portrait of a Lady,3692836
9415,Murder at 1600,25826788
12145,Fierce Creatures,9381260
34314,Turbulence,11466088
8860,Metro,31987563
117,The Untouchables,76270454
14832,The Cement Garden,322975
9619,Dante's Peak,178127760
4104,Benny & Joon,23202734
26306,Prefontaine,589304
14908,McHale's Navy,4529843
1968,Fools Rush In,29481428
66,Absolute Power,50068310
11419,Vegas Vacation,36429528
638,Lost Highway,3675201
9366,Donnie Brasco,41954997
21915,Booty Call,20060051
28005,Kama Sutra - A Tale of Love,4109095
9403,Private Parts,41230799
10003,The Saint,118
1624,Liar Liar,181000000
16052,Selena,60000000
4477,The Devil's Own,140807547
18423,B.A.P.S.,7240837
6499,Turbo: A Power Rangers Movie,17979739
50512,Anna Karenina,791830
12723,Inventing the Abbotts,5926128
9360,Anaconda,136885767
9434,Grosse Pointe Blank,28084357
9611,Romy and Michele's High School Reunion,29235353
816,Austin Powers: International Man of Mystery,67683989
2163,Breakdown,50159144
18,The Fifth Element,263920180
64802,Love! Valour! Compassion!,2900000
50850,The Second Jungle Book: Mowgli & Baloo,479099
2058,Addicted to Love,34673095
330,The Lost World: Jurassic Park,229074524
1701,Con Air,224012234
1639,Speed 2: Cruise Control,164508066
415,Batman & Robin,238207122
11970,Hercules,252712101
8874,My Best Friend's Wedding,126813153
266,Le Mépris,528428
607,Men in Black,589390539
686,Contact,171120329
4421,G.I. Jane,48169156
9387,Conan the Barbarian,68851475
2142,Cop Land,44862187
8413,Event Horizon,47073851
10336,Spawn,87840042
20737,Air Bud,23144499
8834,Conspiracy Theory,136982834
8854,Steel,1686429
4961,Mimic,25480490
68924,The Ice Storm,7
